Spacecraft,EventID,EventStartUTC,EventEndUTCInclusive,PlotStartUTC,PlotEndUTCExclusive,MAG1hSourceFileCount,MAG1hRecords,MAGDailyMeanDays,COHOSourceFileCount,COHORecords,DirectPlasmaVariables,FigureFile,PitchAngleDataFile,Status,Notes
1,Case1-S05-L01,2017-01-15,2017-01-15,2017-01-08,2017-01-23,1,147,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L01_20170115_20170115_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L01_20170115_20170115_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L02,2017-05-24,2017-05-24,2017-05-17,2017-06-01,1,206,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L02_20170524_20170524_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L02_20170524_20170524_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L03,2017-07-18,2017-07-18,2017-07-11,2017-07-26,1,196,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L03_20170718_20170718_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L03_20170718_20170718_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L04,2017-08-15,2017-08-15,2017-08-08,2017-08-23,1,192,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L04_20170815_20170815_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L04_20170815_20170815_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L05,2017-09-16,2017-09-16,2017-09-09,2017-09-24,1,158,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L05_20170916_20170916_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L05_20170916_20170916_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L06,2017-10-10,2017-10-10,2017-10-03,2017-10-18,1,102,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L06_20171010_20171010_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L06_20171010_20171010_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S05-L07,2017-12-06,2017-12-06,2017-11-29,2017-12-14,2,90,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S05-L07_20171206_20171206_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S05-L07_20171206_20171206_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S06-L01,2016-09-13,2016-09-13,2016-09-06,2016-09-21,1,123,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S06-L01_20160913_20160913_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S06-L01_20160913_20160913_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S06-L02,2016-09-22,2016-09-22,2016-09-15,2016-09-30,1,79,15,1,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S06-L02_20160922_20160922_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S06-L02_20160922_20160922_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
1,Case1-S07-L01,2015-03-04,2015-03-04,2015-02-25,2015-03-12,2,181,15,2,360,,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_PPT_VerticalLine_Events_7d\V1_Case1-S07-L01_20150304_20150304_COHO1h_raw_LECP_P1_pitch_angle_Florinski2008_1d.png,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\Case1_Selected_Event_Data\derived\lecp_pitch_angle_florinski2008_daily\V1_Case1-S07-L01_20150304_20150304_LECP_P1_Florinski2008_pitch_angle_1d.csv,ok,
