Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,Status,MAGFile,MAGRecords,PLSFile,PLSRecords,COHOFile,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,FigureFile,Notes,MAGLowPrecisionFilled,MAGInterpolated,COHOInterpolated
1,2015-02-01,2015-02-01,2015-03-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,16842,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\02\voyager1_coho1hr_merged_mag_plasma_20150201_v01.cdf,0,3,875,15,7380,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-02.png,,132920,0,5781
1,2015-03-01,2015-03-01,2015-04-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,21809,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\03\voyager1_coho1hr_merged_mag_plasma_20150301_v01.cdf,0,3,1042,15,7740,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-03.png,,134276,0,6575
1,2015-04-01,2015-04-01,2015-05-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,21172,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\04\voyager1_coho1hr_merged_mag_plasma_20150401_v01.cdf,0,3,968,15,7740,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-04.png,,130204,0,6182
1,2015-05-01,2015-05-01,2015-06-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,17929,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\05\voyager1_coho1hr_merged_mag_plasma_20150501_v01.cdf,0,3,920,15,7650,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-05.png,,150140,0,7017
1,2015-06-01,2015-06-01,2015-07-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,18500,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\06\voyager1_coho1hr_merged_mag_plasma_20150601_v01.cdf,0,3,860,15,6840,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-06.png,,140968,0,7395
1,2015-07-01,2015-07-01,2015-08-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,19392,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\07\voyager1_coho1hr_merged_mag_plasma_20150701_v01.cdf,0,3,967,15,8280,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-07.png,,144060,0,6295
1,2015-08-01,2015-08-01,2015-09-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,12760,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\08\voyager1_coho1hr_merged_mag_plasma_20150801_v01.cdf,0,3,664,15,5310,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-08.png,,171220,0,10068
1,2015-09-01,2015-09-01,2015-10-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,10735,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\09\voyager1_coho1hr_merged_mag_plasma_20150901_v01.cdf,0,3,589,15,5310,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-09.png,,172224,0,9731
1,2015-10-01,2015-10-01,2015-11-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,12231,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\10\voyager1_coho1hr_merged_mag_plasma_20151001_v01.cdf,0,3,636,15,5580,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-10.png,,173236,0,9856
1,2015-11-01,2015-11-01,2015-12-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,11040,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\11\voyager1_coho1hr_merged_mag_plasma_20151101_v01.cdf,0,3,561,15,6480,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-11.png,,170780,0,8554
1,2015-12-01,2015-12-01,2016-01-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2015\voyager1_48s_mag-vim_20150101_v01.cdf,11542,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\12\voyager1_coho1hr_merged_mag_plasma_20151201_v01.cdf,0,3,557,15,5760,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2015\Voyager1_VLISM_2015-12.png,,176036,0,9780
1,2016-01-01,2016-01-01,2016-02-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2016\voyager1_48s_mag-vim_20160101_v01.cdf,12866,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\01\voyager1_coho1hr_merged_mag_plasma_20160101_v01.cdf,0,3,651,15,7020,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2016\Voyager1_VLISM_2016-01.png,,170600,0,8321
1,2016-02-01,2016-02-01,2016-03-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2016\voyager1_48s_mag-vim_20160101_v01.cdf,11440,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\02\voyager1_coho1hr_merged_mag_plasma_20160201_v01.cdf,0,3,578,15,5490,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2016\Voyager1_VLISM_2016-02.png,,161976,0,8880
1,2016-03-01,2016-03-01,2016-04-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2016\voyager1_48s_mag-vim_20160101_v01.cdf,14142,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\03\voyager1_coho1hr_merged_mag_plasma_20160301_v01.cdf,0,3,645,15,6750,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2016\Voyager1_VLISM_2016-03.png,,165520,0,8502
1,2016-04-01,2016-04-01,2016-05-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2016\voyager1_48s_mag-vim_20160101_v01.cdf,12503,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\04\voyager1_coho1hr_merged_mag_plasma_20160401_v01.cdf,0,3,573,15,6840,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2016\Voyager1_VLISM_2016-04.png,,165040,0,8102
1,2016-05-01,2016-05-01,2016-06-01,ok,Z:\SPART-WORK\Data\Voyager\voyager1\mag\48s\reviewed_vim\2016\voyager1_48s_mag-vim_20160101_v01.cdf,12389,,0,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\05\voyager1_coho1hr_merged_mag_plasma_20160501_v01.cdf,0,3,647,15,6300,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\monthly_plots\Voyager1\2016\Voyager1_VLISM_2016-05.png,,172600,0,9045
