B_north                 B_east                 B_down                 dB_north                 dB_east                 dB_down
16134.719468615569     -2115.4746332811847     39965.636739976435     0.28073138443141943     0.04203328118455829     -0.3642399764357833     
16134.125038660213     -2115.4709832811836     39966.379244820186     0.27336133978678845     0.007883281183694635     -0.36054482018516865     
16133.530874441463     -2115.46536946422     39967.12203966395     0.2871255585359904     -0.026830535779936326     -0.36223966394754825     
16132.935667209318     -2115.4581347320773     39967.86612165055     0.3019327906822582     -0.06306526792286604     -0.3652216505506658     
16132.340485044146     -2115.4508049106485     39968.60855035591     0.3263149558551959     -0.043495089351381466     -0.35595035590813495     
16131.744418437005     -2115.444575982078     39969.34930903894     0.32058156299535767     -0.0030240179221436847     -0.32590903894015355     
16131.14841852629     -2115.4403384151137     39970.094646025536     0.28618147370980296     -0.00546158488623405     -0.3403460255358368     
16130.553889062006     -2115.4368402677915     39970.84171814608     0.2773109379941161     -0.004459732208488276     -0.38571814608440036     
16129.960198593251     -2115.4362078347554     39971.587236784464     0.2872014067488635     0.021407834755336808     -0.388036784461292     
16129.364476785217     -2115.4372736606488     39972.32772247645     0.3076232147832343     0.038873660648732766     -0.398922476451844     
16128.769821740576     -2115.4358859374343     39973.06700564607     0.29207825942467025     0.05008593743423262     -0.366205646074377     
16128.177685602177     -2115.433090491006     39973.81041984252     0.3011143978237669     0.04969049100600387     -0.32141984251938993     
16127.584636941463     -2115.4336896427926     39974.55252075769     0.2852630585366569     0.009389642792484665     -0.35012075768463546     
16126.99137354861     -2115.435484352614     39975.293815556804     0.264726451390743     -0.02911564738587913     -0.3998155568042421     
16126.400241160216     -2115.4353566517198     39976.038484552344     0.2878588397834392     -0.033843348280242935     -0.43998455234395806     
16125.80763171825     -2115.435006406185     39976.78488216394     0.3015682817513152     -0.008293593814869382     -0.4215821639445494     
16125.213069776291     -2115.435680312434     39977.53119513269     0.31433022370947583     0.016780312434093503     -0.36799513268488226     
16124.615658392357     -2115.437120848149     39978.27785843626     0.3215416076436668     0.010320848148694495     -0.3591584362584399     
16124.01961294593     -2115.4408490177916     39979.024521003215     0.30028705407130474     0.016249017791778897     -0.36662100321700564     
16123.427635468255     -2115.441050892791     39979.77283162823     0.27836453174495546     0.007350892790782382     -0.3655316282311105     
16122.836216227179     -2115.436964910649     39980.52205595859     0.29318377282106667     -0.004135089351166243     -0.35115595858951565     
16122.242816070926     -2115.43201524547     39981.27019307913     0.315383929073505     -0.015284754529602651     -0.35969307913183     
16121.64725035665     -2115.4248209597563     39982.017432855915     0.31134964335069526     -0.04037904024380623     -0.3952328559171292     
16121.051383928076     -2115.415350892791     39982.76506227555     0.2828160719236621     -0.013849107208898204     -0.42406227554602083     
16120.456401495041     -2115.402787410649     39983.51388823537     0.2926985049598443     0.009387410649196681     -0.3834882353694411     
16119.860398861103     -2115.3875828124346     39984.26238167288     0.30320113889683853     -0.0032171875654967153     -0.3545816728801583     
16119.26360455307     -2115.369563504399     39985.0115091059     0.31879544692856143     -0.03923649560101694     -0.36200910589832347     
16118.666468436997     -2115.349281316899     39985.760266628226     0.3213315630036959     -0.0467186831010622     -0.31966662822378566     
16118.067882253967     -2115.3270486383276     39986.50667115948     0.2980177460340201     -0.03315136167248056     -0.3362711594745633     
16117.470354307534     -2115.3026479017203     39987.2482431684     0.2635456924654136     -0.020752098279899656     -0.3915431683999486     
16116.874937097718     -2115.273852343684     39987.98743200769     0.2629629022812878     -0.001647656315981294     -0.38413200768991373     
16116.280499597711     -2115.240223883863     39988.72792589161     0.27590040228824364     0.0020238838633304113     -0.3701258916116785     
16115.687266316463     -2115.2049122767207     39989.47117048984     0.3412336835372116     -0.00338772327904735     -0.3717704898372176     
16115.091764396828     -2115.169407723149     39990.21559834698     0.33973560317281226     0.020007723149319645     -0.3688983469764935     
16114.493509687     -2115.132080691899     39990.957899641624     0.2941903130013088     -0.016119308101224306     -0.38869964162586257     
16113.896510512892     -2115.09027555797     39991.699311806806     0.27828948710885015     -0.04512444203010091     -0.36891180680686375     
16113.300350870037     -2115.0468418972564     39992.440638012165     0.273049129962601     -0.04195810274359246     -0.3395380121655762     
16112.705287633427     -2115.0032364731487     39993.18108636037     0.29251236657182744     -0.05816352685133097     -0.3498863603672362     
16112.111268593248     -2114.9606147767204     39993.921933213045     0.2980314067517611     -0.04078522327972678     -0.3569332130427938     
16111.51707303522     -2114.9170726338634     39994.66442644964     0.2942269647792273     -0.034427366136696946     -0.4093264496405027     
16110.922765445934     -2114.8710789061847     39995.40789803447     0.2938345540660521     -0.010621093815188942     -0.39449803446768783     
16110.33112435218     -2114.827180602613     39996.15263638269     0.317175647820477     0.01628060261327846     -0.3642363826947985     
16109.741817008427     -2114.781712723149     39996.900340378226     0.30628299157251604     0.008112723149224621     -0.3872403782297624     
16109.151035624502     -2114.7340127231487     39997.64937533358     0.3079643754990684     -0.012687276851465867     -0.4145753335833433     
16108.559095937     -2114.687976941899     39998.3969881461     0.30880406299911556     -0.0114230581011725     -0.3938881460999255     
16107.965891227179     -2114.640137321363     39999.14497216394     0.2822087728218321     -0.02556267863701578     -0.35567216393974377     
16107.372560579857     -2114.5903905356495     39999.89483345858     0.27533942014269996     -0.05100946435049991     -0.33553345857944805     
16106.783770803067     -2114.5425472990423     40000.6438971193     0.25082919693340955     -0.04625270095766609     -0.38039711929741316     
16106.196202722715     -2114.4937553124346     40001.39287017733     0.26559727728454163     0.0025553124346515688     -0.42267017732956447     
16105.606555245038     -2114.4452696427916     40002.14222977554     0.2988447549614648     0.012169642791377555     -0.3891297755399137     
16105.01535691914     -2114.3992045311843     40002.89411600323     0.29724308085860685     -0.04339546881556089     -0.35071600322407903     
16104.421977298614     -2114.354245290113     40003.64912064608     0.3225227013863332     -0.06175470988728193     -0.3432206460784073     
16103.829309486107     -2114.311345982078     40004.40211627108     0.3204905138918548     -0.07905401792231714     -0.3503162710767356     
16103.236881093251     -2114.2676256026125     40005.15504383805     0.28201890674790775     -0.01987439738741159     -0.3926438380512991     
16102.641673794144     -2114.2241800668985     40005.90563062377     0.3033262058561377     0.019080066898368386     -0.38953062376822345     
16102.045120937     -2114.181091227613     40006.655512655016     0.3349790629999916     -0.008808772387055797     -0.366512655018596     
16101.45012787897     -2114.1366236383274     40007.40919479787     0.31917212102962367     0.016223638327574008     -0.3808947978686774     
16100.855443124507     -2114.0946118302913     40008.16020100324     0.2904568754929642     -0.013788169708732312     -0.36820100323529914     
16100.259134151289     -2114.0580708258276     40008.90621894966     0.3041658487109089     -0.04612917417261997     -0.37171894966013497     
16099.66398446379     -2114.0241344642204     40009.65425865947     0.28811553621017083     0.0005344642204363481     -0.3801586594709079     
16099.069625356646     -2113.9913923436843     40010.40432814609     0.30117464335489785     -0.006107656315634813     -0.3761281460901955     
16098.473992320934     -2113.961615379399     40011.15584602554     0.31160767906476394     -0.03148462060107704     -0.39594602554279845     
16097.875609709323     -2113.9321866070777     40011.90577513268     0.2961902906772593     0.007086607077781082     -0.3716751326865051     
16097.273313437006     -2113.8970654686846     40012.65059653894     0.28618656299295253     0.017765468684501684     -0.3430965389343328     
16096.67090640575     -2113.861599955292     40013.39714680679     0.28209359424909053     -0.01480004470795393     -0.352946806793625     
16096.071936919147     -2113.8315965177917     40014.14785187376     0.2808630808540329     -0.00760348220819651     -0.3791518737562001     
16095.473771651286     -2113.803183861542     40014.89819368179     0.29992834871336527     0.002783861541956867     -0.40979368178523146     
16094.875992499505     -2113.777880044577     40015.64492562376     0.28850750049605267     0.011880044577083027     -0.37282562375912676     
16094.277582611108     -2113.749942834756     40016.389593480904     0.27251738889208355     -0.014157165243886993     -0.36759348090708954     
16093.681568035216     -2113.7188264285055     40017.134844954126     0.3075319647850847     -0.039673571494404314     -0.37544495412294054     
16093.085634396824     -2113.6877355802917     40017.878293034475     0.3246656031751627     -0.04496441970832166     -0.35389303447300335     
16092.489083437002     -2113.655762232077     40018.62280002108     0.3158165629974974     -0.08333776792278513     -0.4079000210840604     
16091.89121321379     -2113.622574241006     40019.36867761038     0.2996867862093495     -0.08162575899405056     -0.39177761037717573     
16091.290273169147     -2113.59077946422     40020.1125766059     0.3385268308538798     -0.02122053578023042     -0.3273766058991896     
16090.689605133433     -2113.5582463392207     40020.85627147199     0.3231948665670643     0.01624633922074281     -0.35327147199132014     
16090.091780423612     -2113.5228514731493     40021.59971178448     0.26701957638761087     0.01435147314941787     -0.35961178447905695     
16089.495351026288     -2113.4862294195773     40022.341103927334     0.25354897371289553     0.03612941957726434     -0.36220392733230256     
16088.899746383431     -2113.4462645311846     40023.08427089161     0.24925361656823952     0.03336453118481586     -0.3808708916112664     
16088.304124865574     -2113.4026191963626     40023.83012930679     0.3208751344263874     -0.048880803637530335     -0.3420293067902094     
16087.708946606648     -2113.358221495471     40024.57655631572     0.36145339335234894     -0.06437850452903149     -0.36325631571526174     
16087.11282618254     -2113.3121048213625     40025.32080691839     0.29897381746013707     -0.03059517863766814     -0.42520691838581115     
16086.516225803072     -2113.2649733704698     40026.06231506572     0.31087419692812546     -0.040326629530227365     -0.4231150657215039     
16085.91907419593     -2113.2152935490417     40026.80466955234     0.31262580407019414     -0.022006450958087953     -0.3612695523406728     
16085.322769039683     -2113.1646645311844     40027.55094354787     0.2888309603167727     -0.026135468815482454     -0.36654354786878685     
16084.729429240575     -2113.1129119418993     40028.298578123766     0.247270759424282     -0.04268805810079357     -0.3928781237627845     
16084.13811194147     -2113.061534330292     40029.044586628224     0.2667880585304374     -0.05786566970800777     -0.34118662822584156     
16083.546498838788     -2113.0107783035055     40029.78890153894     0.26350116121102474     -0.02602169649435382     -0.3723015389405191     
16082.952754240574     -2112.9605514285054     40030.53469881573     0.25804575942675     -0.050148571494446514     -0.3940988157337415     
16082.360510780747     -2112.908044955292     40031.28155403894     0.33888921925245086     -0.03955504470786764     -0.3680540389395901     
16081.770927410218     -2112.8511362945774     40032.02664778892     0.3363725897816039     0.018936294577542867     -0.37704778892657487     
16081.179594307536     -2112.7947618079706     40032.77027298983     0.3110056924633682     -0.0022381920293810253     -0.36947298982704524     
16080.584651762896     -2112.736844241006     40033.51473218627     0.3157482371043443     -0.023955758993906784     -0.346032186265802     
