Spacecraft,MonthUTC,DataStartUTC,DataEndUTC,SourceCDF,EpochRecords,MagneticRecords,PlasmaRecords,LECPChannels,LECPValidValues,CRSChannels,CRSValidValues,OriginalInstrumentValuesOnly,GeneratedOrInterpolatedValues,FigureFile,Status,Notes
1,2015-06-01,2015-06-01,2015-07-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\06\voyager1_coho1hr_merged_mag_plasma_20150601_v01.cdf,720,293,0,3,860,15,6840,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-06.png,ok,
1,2015-07-01,2015-07-01,2015-08-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\07\voyager1_coho1hr_merged_mag_plasma_20150701_v01.cdf,744,314,0,3,967,15,8280,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-07.png,ok,
1,2015-08-01,2015-08-01,2015-09-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\08\voyager1_coho1hr_merged_mag_plasma_20150801_v01.cdf,744,214,0,3,664,15,5310,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-08.png,ok,
1,2015-09-01,2015-09-01,2015-10-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\09\voyager1_coho1hr_merged_mag_plasma_20150901_v01.cdf,720,186,0,3,589,15,5310,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-09.png,ok,
1,2015-10-01,2015-10-01,2015-11-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\10\voyager1_coho1hr_merged_mag_plasma_20151001_v01.cdf,744,208,0,3,636,15,5580,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-10.png,ok,
1,2015-11-01,2015-11-01,2015-12-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\11\voyager1_coho1hr_merged_mag_plasma_20151101_v01.cdf,720,193,0,3,561,15,6480,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-11.png,ok,
1,2015-12-01,2015-12-01,2016-01-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2015\12\voyager1_coho1hr_merged_mag_plasma_20151201_v01.cdf,744,203,0,3,557,15,5760,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2015-12.png,ok,
1,2016-01-01,2016-01-01,2016-02-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\01\voyager1_coho1hr_merged_mag_plasma_20160101_v01.cdf,744,224,0,3,651,15,7020,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-01.png,ok,
1,2016-02-01,2016-02-01,2016-03-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\02\voyager1_coho1hr_merged_mag_plasma_20160201_v01.cdf,696,212,0,3,578,15,5490,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-02.png,ok,
1,2016-03-01,2016-03-01,2016-04-01,Z:\SPART-WORK\Data\Voyager\voyager1\coho\1hr\l2\merged_mag_plasma\2016\03\voyager1_coho1hr_merged_mag_plasma_20160301_v01.cdf,744,243,0,3,645,15,6750,1,0,C:\Users\Administrator\Documents\FWD_matlab\Voyager_fu\Voyager_Interstellar_Monthly\UniformLowPrecision_Monthly_Raw\V1_COHO1h_raw_2016-03.png,ok,
